Stage Name,Day,Artist(s),Start Time,End Time
"Pyramid Stage",FRIDAY,"DUA LIPA",22:00,23:45
"Pyramid Stage",FRIDAY,"LCD SOUNDSYSTEM",19:45,21:00
"Pyramid Stage",FRIDAY,"PJ HARVEY",18:00,19:00
"Pyramid Stage",FRIDAY,"PAUL HEATON",16:15,17:15
"Pyramid Stage",FRIDAY,"SEVENTEEN",14:45,15:45
"Pyramid Stage",FRIDAY,"OLIVIA DEAN",13:15,14:15
"Pyramid Stage",FRIDAY,"SQUEEZE",12:00,12:45
"Pyramid Stage",SATURDAY,"COLDPLAY",21:45,23:45
"Pyramid Stage",SATURDAY,"LITTLE SIMZ",19:45,20:45
"Pyramid Stage",SATURDAY,"MICHAEL KIWANUKA",17:45,18:45
"Pyramid Stage",SATURDAY,"KEANE",16:00,17:00
"Pyramid Stage",SATURDAY,"CYNDI LAUPER",14:30,15:30
"Pyramid Stage",SATURDAY,"AYRA STARR",13:15,14:00
"Pyramid Stage",SATURDAY,"FEMI KUTI",12:00,12:45
"Pyramid Stage",SUNDAY,"SZA",21:30,23:15
"Pyramid Stage",SUNDAY,"BURNA BOY",19:30,20:30
"Pyramid Stage",SUNDAY,"JANELLE MONAE",17:45,18:45
"Pyramid Stage",SUNDAY,"SHANIA TWAIN",15:45,17:00
"Pyramid Stage",SUNDAY,"PALOMA FAITH",13:45,14:45
"Pyramid Stage",SUNDAY,"SEASICK STEVE",12:30,13:15
"Pyramid Stage",SUNDAY,"INTERLINKED BY ROYAL BIRMINGHAM BALLET",11:30,12:00
"Other Stage",FRIDAY,"IDLES",22:15,23:30
"Other Stage",FRIDAY,"D-BLOCK EUROPE",20:30,21:30
"Other Stage",FRIDAY,"ANNE-MARIE",18:45,19:45
"Other Stage",FRIDAY,"BOMBAY BICYCLE CLUB",17:15,18:15
"Other Stage",FRIDAY,"CONFIDENCE MAN",15:45,16:45
"Other Stage",FRIDAY,"HEADIE ONE",14:15,15:15
"Other Stage",FRIDAY,"THE SNUTS",13:00,13:45
"Other Stage",FRIDAY,"ANNIE MAC",11:30,12:30
"Other Stage",SATURDAY,"DISCLOSURE",22:30,23:45
"Other Stage",SATURDAY,"THE STREETS",20:30,21:30
"Other Stage",SATURDAY,"CAMILA CABELLO",18:45,19:45
"Other Stage",SATURDAY,"BLOC PARTY",17:15,18:15
"Other Stage",SATURDAY,"THE LAST DINNER PARTY",15:45,16:45
"Other Stage",SATURDAY,"TEMS",14:15,15:15
"Other Stage",SATURDAY,"THE STAVES",13:00,13:45
"Other Stage",SATURDAY,"JAMIE WEBSTER",11:45,12:30
"Other Stage",SUNDAY,"THE NATIONAL",21:45,23:15
"Other Stage",SUNDAY,"TWO DOOR CINEMA CLUB",19:45,20:45
"Other Stage",SUNDAY,"AVRIL LAVIGNE",18:00,19:00
"Other Stage",SUNDAY,"NOTHING BUT THIEVES",16:30,17:30
"Other Stage",SUNDAY,"JAMES",15:00,16:00
"Other Stage",SUNDAY,"SOFT PLAY",13:45,14:30
"Other Stage",SUNDAY,"RACHEL CHINOURIRI",12:30,13:15
"Other Stage",SUNDAY,"THE ZUTONS",11:15,12:00
"West Holts Stage",FRIDAY,"JUNGLE",22:15,23:45
"West Holts Stage",FRIDAY,"HEILUNG",20:15,21:30
"West Holts Stage",FRIDAY,"DANNY BROWN",18:30,19:30
"West Holts Stage",FRIDAY,"SUGABABES",16:55,17:55
"West Holts Stage",FRIDAY,"NONAME",15:30,16:25
"West Holts Stage",FRIDAY,"SQUID",14:00,15:00
"West Holts Stage",FRIDAY,"ASHA PUTHLI",12:30,13:30
"West Holts Stage",FRIDAY,"SOFIA KOURTESIS",11:00,12:00
"West Holts Stage",SATURDAY,"JESSIE WARE",22:15,23:45
"West Holts Stage",SATURDAY,"MASEGO",20:30,21:30
"West Holts Stage",SATURDAY,"BLACK PUMAS",19:00,20:00
"West Holts Stage",SATURDAY,"NITIN SAWHNEY",17:30,18:30
"West Holts Stage",SATURDAY,"CORINNE BAILEY RAE",16:00,17:00
"West Holts Stage",SATURDAY,"ALOGTE OHO & HIS SOUNDS OF JOY",14:30,15:30
